,PRODUCTO,TIENDA,TIPO_TIENDA,MUNICIPIO,ESTADO,INCUMPLIMIENTO
26281,CHILES,7 ELEVEN MEXICO  S.A. DE C.V. (MORELOS Y OCTAVA),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,NO SE DETECTO INCUMPLIMIENTO
26282,FRIJOLES,7 ELEVEN MEXICO  S.A. DE C.V. (EMPLEADO POSTAL),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,NO SE DETECTO INCUMPLIMIENTO
26283,JOYERIA,CARDONA JOYEROS,JOYERIA,VICTORIA,TAMAULIPAS,Carece de logotipo del fabricante
26284,SALSA,7 ELEVEN MEXICO  S.A. DE C.V. (MARTE R. GOMEZ Y SIERRA),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,NO SE DETECTO INCUMPLIMIENTO
26285,ATUN,7 ELEVEN MEXICO  S.A. DE C.V. (7 ELEVEN LEON GUZMAN),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,NO SE DETECTO INCUMPLIMIENTO
26286,SOPA DE PASTA,7 ELEVEN MEXICO  S.A. DE C.V. (LAURO VILLAR Y JOSE ARRESE),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,NO SE DETECTO INCUMPLIMIENTO
26287,SALSA,7 ELEVEN MEXICO  S.A. DE C.V. (AV. INTERNACIONAL Y ARBOLEDAS),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,NO SE DETECTO INCUMPLIMIENTO
26288,BEBIDAS,7 ELEVEN MEXICO  S.A. DE C.V. (PRIMERA Y J. F.  KENNEDY),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,NO SE DETECTO INCUMPLIMIENTO
26289,BEBIDAS,7 ELEVEN MEXICO  S.A. DE C.V. (MAESTRO Y CANALES),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,NO SE DETECTO INCUMPLIMIENTO
26290,CHOCOLATE,7 ELEVEN MEXICO  S.A. DE C.V. (TEC DE MATAMOROS),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,NO SE DETECTO INCUMPLIMIENTO
26291,BEBIDAS,7 ELEVEN MEXICO  S.A. DE C.V. (SENDERO NACIONAL),TIENDAS DE CONVENIENCIA,MATAMOROS,TAMAULIPAS,NO SE DETECTO INCUMPLIMIENTO
